vuosi,amount,amount2,id,reg_no,hanke_name,teema,Lookup_Teema,Lookup_Vaikutusalue,Lookup_Maakunta,Toteuttaja,Kunta,link,Vuosi,hvuosi,Lookup_Vuosi,apvm,lpvm,Kohderyhma,Tila,Lookup_Tila,Lookup_Hanketyyppi
2006-2008,1000,900,81,CC10216,Digitointipiste uudistettuun kirjastoon,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus ym.","Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus ym.",kunnat,Varsinais-Suomi,Tarvasjoen kirjasto,Tarvasjoki,300-vuotta-kulttuuria,2014,2014,2014,01.01.1014,31.12.2014,Lapset; Asiakkaat,Käynnissä,Käynnissä,OKM
2012-2014,7500,6750,342,CC10494,Kohti kehittyvää asiakaspalvelua,Palvelujen kehittäminen,Palvelujen kehittäminen,kunnat,Keski-Suomi,Toivakan kunnankirjasto,Toivakka,300-vuotta-kulttuuria,2012,2012,2012,01.01.2012,30.05.2013,Asiakkaat; Lapset,Päättynyt,Päättynyt,OKM
2012-2014,9800,8820,437,CC10589,Lukijat kohtaavat kirjailijan,Laitehankinnat,Laitehankinnat,kunnat,Lappi,Kolarin kunnankirjasto,Kolari,300-vuotta-kulttuuria,2012,2012,2012,01.01.2012,30.05.2013,Vanhukset; Nuoret,Päättynyt,Päättynyt,OKM
2006-2008,10605,"9544,5",78,CC10213,Digitointilaitteet Ylä-Savon kirjastoihin,Palvelujen kehittäminen,Palvelujen kehittäminen,seutukunnat,Pohjois-Savo,Iisalmen kaupunginkirjasto,Iisalmi,300-vuotta-kulttuuria,2013,2013,2013,01.01.2012,30.12.2012,Lapset; Asiakkaat,Päättynyt,Päättynyt,OKM
2008-2010,6000,5400,260,CC10412,Kirjasto irti! - osallistava kirjastonkäytönopetus Hattulan kunnankirjastossa,Digitointi,Digitointi,kunnat,Kanta-Häme,Hattulan kunnankirjasto,Hattula,300-vuotta-kulttuuria,2012,2012,2012,01.01.2012,30.12.2012,Asiakkaat; Lapset,Päättynyt,Päättynyt,OKM
2012-2014,6000,5400,283,CC10435,Kirjastoapinan lukudiplomi ja kirjastonappari,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus ym.","Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus ym.",kunnat,Varsinais-Suomi,Liedon kunnankirjasto,Lieto,300-vuotta-kulttuuria,2011,2011,2011,01.01.2012,30.12.2012,Asiakkaat; Lapset,Päättynyt,Päättynyt,OKM
2012-2014,3000,2700,385,CC10537,Kyläkouluille kirjavinkkari,Digitointi,Digitointi,kunnan- tai kaupunginosat,Pirkanmaa,Hämeenkyrön kirjasto,Hämeenkyrö,300-vuotta-kulttuuria,2012,2012,2012,01.01.2012,30.12.2012,Nuoret; Lapset; Asiakkaat,Päättynyt,Päättynyt,OKM
2012-2014,15000,13500,473,CC10625,Möllärimestarit esiin,Kirjasto oppimisympäristönä ja yhteisenä tilana,Kirjasto oppimisympäristönä ja yhteisenä tilana,valtakunnallinen,Pohjois-Pohjanmaa,Taivalkosken kunnankirjasto,Taivalkoski,300-vuotta-kulttuuria,2012,2012,2012,01.01.2012,30.12.2012,Vanhukset; Nuoret,Päättynyt,Päättynyt,OKM
2012-2014,79000,71100,551,CC10703,NFC KIRJASTOISSA,Laitehankinnat,Laitehankinnat,kansainvälinen,Satakunta,Luvian kunnankirjasto,Luvia,300-vuotta-kulttuuria,2012,2012,2012,01.01.2012,30.12.2012,Vanhukset; Nuoret,Päättynyt,Päättynyt,OKM
2012-2014,4500,4050,698,CC10850,Sisältö elämään - 150 vuotta kirjastotoimintaa Karkkilassa,Laitehankinnat,Laitehankinnat,kunnat,Uusimaa,Karkkilan kaupunginkirjasto,Karkkila,300-vuotta-kulttuuria,2012,2012,2012,01.01.2012,30.12.2012,Nuoret; Vanhukset; Lapset; Asiakkaat; Henkil�kunta,Päättynyt,Päättynyt,OKM
