vuosi,amount,id2,id,hanke_name,teema,Lookup_Teema,Lookup_Vaikutusalue,Lookup_Maakunta,Toteuttaja,Kunta,link,Vuosi,hvuosi,Lookup_Vuosi,Kohderyhma,Lookup_Hanketyyppi,Lookup_Kieli,lkm
2012-2014,1300,3,5,"""En löydä täältä mitään""",Tilasuunnittelu,Tilasuunnittelu,maakunta,Pohjois-Pohjanmaa,Pyhäjoen kunnankirjasto,Pyhäjoki,hankkeet.kirjastot.fi/node/415,2012,2012,2012,Kirjaston asiakkaat,ELY,fi,1
2012-2014,8000,4,6,Författarbesök litterära program för femteklassisterna i Lukaskommunerna,Lukemisen edistäminen,Lukemisen edistäminen,kunnat,Uusimaa,Raseborgs stadsbibliotek,Raasepori,hankkeet.kirjastot.fi/node/1230,2013,2013,2013,Lapset (alle 13 v.),ELY,sv,1
2012-2014,10000,5,7,"""Ihan tyhmii runoi!"" - Nuorten näkökulmia kirjastoon",Palvelujen kehittäminen,Palvelujen kehittäminen,kunnan- tai kaupunginosat,Pirkanmaa,Kangasalan kunnankirjasto,Kangasala,hankkeet.kirjastot.fi/node/1932,2014,2014,2014,Nuoret (13-19  v.),ELY,fi,1
2012-2014,4500,7,9,"""Kirjasto on OK!"" Lisää virtaa nuortenkirjastotyöhön""",Palvelujen kehittäminen,Palvelujen kehittäminen,kunnat,Keski-Suomi,Saarijärven kaupunginkirjasto,Saarijärvi,hankkeet.kirjastot.fi/node/2208,2014,2014,2014,Nuoret (13-19  v.),ELY,fi,1
2012-2014,1800,8,10,"""Minä en käy kirjastossa""",Palvelujen kehittäminen,Palvelujen kehittäminen,kunnat,Pirkanmaa,Hämeenkyrön kirjasto,Hämeenkyrö,hankkeet.kirjastot.fi/node/1432,2013,2013,2013,Kirjaston ei-käyttäjät,ELY,fi,1
2012-2014,15000,9,11,"Sitähän se kaikki on"" - taiteen ja tiedon ykseyttä kirjastossa""",Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,kunnan- tai kaupunginosat,Uusimaa,Keravan kaupunginkirjasto,Kerava,hankkeet.kirjastot.fi/node/1970,2014,2014,2014,Kirjaston asiakkaat; Kirjaston ei-käyttäjät,ELY,fi,1
2012-2014,4500,10,13,150 vuotta kirjastotoimintaa Ruovedellä,Palvelujen kehittäminen,Palvelujen kehittäminen,kunnan- tai kaupunginosat,Pirkanmaa,Ruoveden kunnankirjasto,Ruovesi,hankkeet.kirjastot.fi/node/1402,2013,2013,2013,Kirjaston asiakkaat,ELY,fi,1
2012-2014,1900,11,14,300 vuotta kulttuuria,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,kunnan- tai kaupunginosat,Pohjois-Karjala,Joensuun seutukirjasto - Pohjois-Karjalan maakuntakirjasto,Joensuu,hankkeet.kirjastot.fi/node/563,2012,2012,2012,Kirjaston asiakkaat,ELY,fi,1
2012-2014,9000,12,15,5K,Lukemisen edistäminen,Lukemisen edistäminen,kunnan- tai kaupunginosat,Keski-Suomi,Kannonkosken kunnankirjasto,Kannonkoski,hankkeet.kirjastot.fi/node/839,2012,2012,2012,Kirjaston asiakkaat,ELY,fi,1
2012-2014,3000,15,19,äijät lukee : miesten lukupiiri livenä ja somessa,Lukemisen edistäminen,Lukemisen edistäminen,kunnan- tai kaupunginosat,Etelä-Pohjanmaa,Lapuan kaupunginkirjasto,Lapua,hankkeet.kirjastot.fi/node/1966,2014,2014,2014,Kirjaston asiakkaat,ELY,fi,1
